Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2019 (in SGD),Revenue 2016 (in SGD),Number of employees 2019,Number of employees 2016,Founding year
1,Carro,http://www.carro.sg,Technology,14158.5%,422.40%,"117,800,000","826,176",400,10,2015
2,SCI Ecommerce,http://www.sciecomm.com,E-commerce,7479.7%,323.20%,"62,860,749","829,332",92,12,2014
3,Roadbull Logistics,http://roadbull.com,Technology,3961.6%,243.70%,"9,227,079","227,178",135,34,2015
4,Ninja Van Logistics,http://www.ninjavan.co,Transport,2736.7%,205.00%,"340,400,000","12,000,000",25655,1633,2014
5,Blue Wireless,http://www.bluewireless.com,Telecoms,2367.5%,191.10%,"3,818,537","154,752",25,4,2015
6,RedDoorz,http://www.reddoorz.com,Travel and leisure,2262.5%,186.90%,"11,600,000","491,000",1556,49,2015
7,BR Metals,http://www.brmetalsltd.com,Waste management and recycling,1927.1%,178.90%,"146,509,106","7,227,568",16,6,2009
8,Coda Payments,http://codapayments.com,Fintech,1581.7%,162.00%,"109,574,188","6,515,847",104,19,2011
9,Thermomix Singapore/The Future of Cooking,http://www.thermomix.com.sg,Retail,1488.8%,151.40%,"11,395,916","717,285",10,8,2016
10,WAVE Life Sciences,http://wavelifesciences.com,Health,1267.9%,144.60%,"21,609,815","1,579,775",301,96,2012
11,Nium,http://www.nium.com,Fintech,999.2%,122.30%,"9,981,000","908,000",334,118,2014
12,SQREEM Technologies,http://www.sqreemtech.com,Technology,941.2%,118.40%,"7,596,009","729,554",101,32,2010
13,Ecommerce Enablers,http://www.shopback.sg,E-commerce,851.4%,111.90%,"38,608,803","4,058,029",465,120,2014
14,Redhill Communications,http://redhill.world,Advertising,788.4%,107.10%,"4,345,204","489,126",75,16,2014
15,Prince Education,http://www.princeeducation.com.sg,Education,700.0%,100.00%,"2,000,000","250,000",8,3,2008
16,Grain,http://grain.com.sg,Food and beverage,612.9%,92.50%,"13,580,000","1,905,000",155,33,2014
17,Sing Fuels,http://www.singfuels.com,Transport,515.9%,87.50%,"571,201,043","92,739,790",28,13,2012
18,I Switch,http://www.iswitch.com.sg,Energy,552.5%,86.90%,"129,738,185","19,882,095",57,11,2015
19,Declarators,http://www.declarators.com.sg,Transport,539.4%,85.60%,"1,512,319","236,539",24,9,2014
20,2C2P,http://www.2c2p.com,Fintech,480.1%,83.80%,"109,973,865","18,957,088",343,168,2003
21,Fundnel,http://fundnel.com,Fintech,493.6%,81.10%,"5,796,679","976,567",28,14,2015
