Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2018 (in SGD),Revenue 2015 (in SGD),Number of employees 2018,Number of employees 2015,Founding year
17,Immigration@SG,http://www.iasg.com.sg,Support Services,768.8832548594,105.582973134997,1799.0,207.0,20.0,2.0,2014
18,The Edge Property,http://www.edgeprop.sg,Property,659.0232876336,96.525254294073,5803.0,764.0,82.0,38.0,2014
19,CoAssets,http://www.coassets.com,Fintech,614.1356498136,92.572190819008,5830.0,816.0,74.0,17.0,2013
20,KSE Marine Works,http://www.ksemarine.com,Construction,600.0,91.293118277239,21000.0,3000.0,88.0,40.0,2004
21,MM2 Asia,http://www.mm2entertainment.com,Media,594.3163440972,90.773975307473,266187.0,38338.0,279.0,,2014
22,MiRXES,http://www.mirxes.com,Health,582.9232458483,89.724739532723,2354.0,345.0,17.0,5.0,2014
23,Catapult Ventures,http://www.moneysmart.com,Fintech,491.4546573384,80.845269036975,11140.0,1883.0,167.0,16.0,2009
24,Align Group of Companies,http://www.aligngoc.com,Management Consulting,453.1362910738,76.852302237452,2013.0,364.0,15.0,3.0,2012
25,MyRepublic Group,http://myrepublic.net,Telecoms,427.2588306847,74.050237694133,109865.0,20837.0,300.0,180.0,2011
26,Ecommerce Enablers,http://www.shopback.com,Ecommerce,375.4203333687,68.148339947494,19293.0,4058.0,280.0,40.0,2014
27,Grand Venture Technology,http://www.gvt.com.sg,Manufacturing & Machinery,364.8724571947,66.895491665416,40997.0,8819.0,557.0,218.0,2012
28,OneCare Medical Group,http://www.onecaremedical.com.sg,Health,346.4285714286,64.658439002087,12500.0,2800.0,130.0,15.0,2013
29,Ahrefs,http://www.ahrefs.com,Technology,339.0277545638,63.743470967233,45353.0,10330.0,21.0,10.0,2012
30,TOFFS Technologies,http://www.toffstech.com,Cyber Security,338.9651679532,63.735689655183,8685.0,1978.0,38.0,6.0,2014
31,Vita Group (Plywood and Resin),http://www.vita-commodities.com,Industrial Goods,337.1753576289,63.512851147702,12211.0,2793.0,10.0,4.0,2003
32,The Drinkery,http://www.thedrinkery.com.sg,Food & Beverage,289.5307876193,57.342940786132,2931.0,753.0,10.0,1.0,2014
33,Yishion Singapore,http://www.yishion.sg,Retail,286.6157783119,56.949471658503,8645.0,2236.0,65.0,11.0,2011
34,Bluconnection,http://www.bluconnection.com,Fashion,272.2245304725,54.977385597362,44767.0,12027.0,9.0,6.0,2009
35,Sing Fuels,http://www.singfuels.com,Transport,270.9396259216,54.798854716918,348127.0,93850.0,30.0,10.0,2012
36,Bimage Consulting,http://www.bimageconsulting.com,Technology,270.8381484987,54.784737395726,4112.0,1109.0,24.0,17.0,2010
37,Niometrics,http://www.niometrics.com,Technology,236.0268510414,49.781437400452,25508.0,7591.0,105.0,30.0,2009
38,Rewind Networks,http://www.rewindnetworks.com,Media,218.5188625806,47.133551725664,6212.0,1950.0,12.0,8.0,2012
39,Nuffield Dental Holdings,http://www.nuffielddental.com.sg,Health,206.0840318145,45.193405302724,8807.0,2877.0,65.0,40.0,2014
40,Soda Vision,http://www.sodavision.com,Technology,198.5082153879,43.985501271058,5647.0,1892.0,13.0,7.0,2011
41,MindChamps PreSchool,http://www.mindchamps.org,Education,197.1299943725,43.763564289891,36960.0,12439.0,244.0,176.0,2008
42,Edit Suits,http://www.editsuits.com,Fashion,188.1065026287,42.293267911112,3493.0,1212.0,17.0,8.0,2013
43,A-Plus Automation (S),http://www.aplus-am.com,Industrial Goods,187.6772727467,42.222568501469,16869.0,5864.0,14.0,10.0,2010
44,Sea,http://www.seagroup.com,Technology,183.0880037245,41.4622262999,1126598.0,397967.0,22600.0,4500.0,2009
45,Adept Health,http://www.adepthealth.com.sg,Health,180.2541794819,40.988611236123,3414.0,1218.0,36.0,8.0,2012
46,Nimbus Marine Services,http://www.nimbusmaritime.com,Support Services,171.0985793047,39.436266978443,2345.0,865.0,3.0,3.0,2011
47,GEX Ventures,http://www.gexventures.com,Property,166.459743463,38.636377454647,4831.0,1813.0,30.0,16.0,2014
48,SAC Capital,http://www.saccapital.com.sg,Financial Services,161.5384615385,37.777570253845,6800.0,2600.0,32.0,17.0,2004
49,Starview International,http://www.starviewint.com,Technology,158.4990046104,37.241764062727,12907.0,4993.0,15.0,9.0,2010
50,GKE Corporation,http://www.gke.com.sg,Industrial Goods,139.3273664226,33.76139435068,88240.0,36870.0,1089.0,310.0,1995
51,SAIS Group,http://www.sais-group.com,Technology,139.0082452677,33.701915044134,28038.0,11731.0,,,2013
52,Sen Yue Holdings,http://senyueholdings.com,Waste management & recycling,136.7219753863,33.274233081394,240822.0,101732.0,700.0,600.0,2001
53,Vividthree Holdings,http://www.vividthree.com,Technology,134.6803508521,32.889982105294,9284.0,3956.0,41.0,35.0,2006
54,Mlion Corporation,http://www.mlioncorp.com,Industrial Goods,134.2117319093,32.801469852157,87477.0,37350.0,12.0,11.0,2011
55,Proof & Company Spirits,http://www.proofandcompany.com,Food & Beverage,113.3796148458,28.74122650535,17347.0,8130.0,75.0,51.0,2012
56,Singapore OG,http://www.sog.com.sg,Health,111.3058643046,28.322806701816,34681.0,16413.0,72.0,39.0,2011
57,PropNex,http://www.propnex.com,Property,110.7408184024,28.208323362454,431539.0,204772.0,8303.0,5464.0,2000
58,Actspand,http://actspand.com,Food & Beverage,107.8208211399,27.613421285375,1793.0,863.0,19.0,8.0,2005
59,Y Ventures Group,http://yventures.com.sg,Ecommerce,103.6775805974,26.759662979288,18066.0,8870.0,48.0,30.0,2013
60,ESCO,http://www.esco.com.sg,Technology,101.9331960386,26.396749744211,27996.0,13864.0,51.0,34.0,1989
61,Decision Science Agency,http://www.decision-science.com,Technology,93.7124914288,24.657728495283,5701.0,2943.0,49.0,28.0,2013
62,Affle Holdings,http://www.affle.com,Advertising,92.9954068242,24.503719038412,35295.0,18288.0,187.0,306.0,2005
63,ASTI,http://www.asti.com.sg,Construction,86.593110356,23.111475019941,15924.0,8534.0,30.0,25.0,1998
64,Trafigura Group,http://www.trafigura.com,Energy,85.8809192022,22.954644127714,246231845.0,132467520.0,4316.0,5248.0,1996
65,Supreme Components International,http://www.supremecomponents.com,Technology,84.8660475173,22.730466599421,24878.0,13458.0,32.0,24.0,2001
66,APAC Realty,http://www.apacrealty.com.sg,Property,82.2712811694,22.153546963463,423963.0,232600.0,156.0,138.0,2013
67,Procurri Corporation,http://www.procurri.com,Technology,79.3248326738,21.491756608229,220236.0,122814.0,400.0,,2009
68,Khaitan International,,Agricultural Commodities,73.7401278113,20.217228705345,98044.0,56431.0,6.0,4.0,1985
69,Agrocorp International,http://www.agrocorp.com.sg,Agricultural Commodities,70.3722854188,19.435376535032,4488854.0,2634733.0,88.0,52.0,1990
70,Rolling Arrays Consulting,http://www.rollingarrays.com,Technology,68.9618681744,19.104883210141,6936.0,4105.0,47.0,27.0,2009
71,EOS Furniture,http://www.soulandtables.com.sg,Retail,63.5103914604,17.80989965939,4271.0,2612.0,14.0,10.0,2012
72,Arova Singapore,http://arova.com.sg,Industrial Goods,56.5319682773,16.109480537472,6438.0,4113.0,28.0,20.0,2012
73,Moneymax Financial Services,http://www.moneymax.com.sg,Fintech,55.8883616012,15.950127590421,146507.0,93982.0,309.0,,2008
74,Hyphens Pharma International,http://www.hyphens.com.sg,Pharmaceuticals,54.4878509926,15.601848156492,120930.0,78278.0,,275.0,1998
75,Excelpoint Technology,http://www.excelpoint.com,Technology,51.6359746608,14.886081180848,1711044.0,1128389.0,752.0,613.0,1987
76,ISEC Healthcare,http://isechealthcare.com,Health,51.5304901721,14.85943510573,40444.0,26690.0,121.0,,2014
77,Bumitama Agri,http://www.bumitama-agri.com,Agricultural Commodities,51.226993865,14.782700904638,796195.0,526490.0,4173.0,3999.0,2005
78,QXY Resources,http://www.qxyresources.com,Construction,49.407437499,14.320488720086,38371.0,25682.0,109.0,75.0,2004
79,H.A.M. Creations,http://www.hamcreations.com,Support Services,48.4594549917,14.07818966296,5721.0,3853.0,48.0,42.0,2006
80,Aedge Holdings,http://www.aedge.com.sg,Transport,48.4172805988,14.067386187914,24538.0,16533.0,285.0,523.0,2005
81,Ace Exim,http://www.aceexim.com,Industrial Goods,44.4995050225,13.054742844719,178910.0,123813.0,5.0,3.0,2007
82,Tat Seng Packaging Group,http://www.tspg.sg,Manufacturing & Machinery,44.0217320082,12.930003902956,333325.0,231441.0,1289.0,,1968
83,Teo Holdings,http://www.teogmts.com,Fashion,43.9348302661,12.907285598642,151912.0,105542.0,49.0,49.0,2000
84,Palvision Corporation,http://www.palvision.com,Technology,43.2168817009,12.719244994793,1576.0,1101.0,19.0,15.0,1989
85,Select Metals,http://www.selectmetals.sg,Waste management & recycling,43.1222808355,12.694420903482,71367.0,49864.0,11.0,4.0,2013
86,Benjamin Barker Aust,http://www.benjaminbarker.co,Retail,41.3448681924,12.225964981095,11361.0,8038.0,66.0,50.0,2009
87,i-Sprint Innovations,http://www.i-sprint.com,Technology,39.7628427335,11.805690598609,26555.0,19000.0,182.0,187.0,2000
88,Acma,http://www.acmaltd.com,Manufacturing & Machinery,39.1751716072,11.64876457049,99957.0,71821.0,995.0,,1965
89,Info-Tech Systems Integrators,http://www.info-tech.com.sg,Technology,36.3985421881,10.90128446932,7956.0,5833.0,70.0,50.0,2006
90,PKWA Law Practice,http://www.pkwalaw.com,Law,35.6153039187,10.688601539527,15727.0,11597.0,130.0,100.0,2004
91,Health Management International,http://www.hmi.com.sg,Health,35.4474196464,10.642907215813,154127.0,113561.0,1500.0,1300.0,1991
92,SBS Transit,http://www.sbstransit.com.sg,Transport,35.1303838266,10.55651411247,1383600.0,1023900.0,10475.0,9439.0,1992
93,Adroit Overseas,http://www.adroitoverseas.com,Agricultural Commodities,34.4354679339,10.366673874064,97300.0,72376.0,21.0,11.0,2010
94,Watson EP Industries,http://www.watsonep.com.sg,Industrial Goods,34.4321311045,10.365760727619,48643.0,36184.0,88.0,82.0,1980
95,Spindex Industries,http://www.spindex.com.sg,Manufacturing & Machinery,34.2967244701,10.328693010695,153340.0,114180.0,,,1981
96,Haw Par Corporation Limited and its subsidiaries,http://www.hawpar.com,Health,32.9803057584,9.967016490608,237814.0,178834.0,595.0,546.0,1969
97,Data Connect Technologies,http://www.d-connect.net,Technology,31.5187892223,9.562668330576,4037.0,3069.0,33.0,10.0,2003
98,Kimly,http://www.kimlygroup.sg,Food & Beverage,29.6237179487,9.033886147733,202213.0,156000.0,2252.0,,1990
99,Singapore Kitchen Equipment,http://www.singaporekitchenequipmentltd.com,Interiors,28.9372176333,8.841060509823,33561.0,26029.0,173.0,102.0,1996
100,ISDN Holdings,http://www.isdnholdings.com,Manufacturing & Machinery,28.0,8.7,301990.0,235263.0,856.0,,1986
